INFO  - 2013-10-05 06:57:30.892; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-10-05 06:57:32.561; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/bjo/workspace/solr-4.5.0/example/solr/collection1
INFO  - 2013-10-05 06:57:32.562; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/bjo/workspace/solr-4.5.0/example/solr/collection1/'
INFO  - 2013-10-05 06:57:32.619; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-10-05 06:57:32.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-10-05 06:57:32.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2013-10-05 06:57:32.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-10-05 06:57:32.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-10-05 06:57:32.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-10-05 06:57:32.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-10-05 06:57:32.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-10-05 06:57:32.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-10-05 06:57:32.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-10-05 06:57:32.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-10-05 06:57:32.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-10-05 06:57:32.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2013-10-05 06:57:32.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-10-05 06:57:32.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-10-05 06:57:32.625; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2013-10-05 06:57:32.625; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.625; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.626; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/dist/solr-cell-4.5.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.626; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-10-05 06:57:32.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2013-10-05 06:57:32.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-10-05 06:57:32.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2013-10-05 06:57:32.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-10-05 06:57:32.628; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/dist/solr-clustering-4.5.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.628; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-10-05 06:57:32.628; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-10-05 06:57:32.629; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/dist/solr-langid-4.5.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.630; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.630; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-10-05 06:57:32.630; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.630; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-10-05 06:57:32.631; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/bjo/workspace/solr-4.5.0/dist/solr-velocity-4.5.0.jar' to classloader
INFO  - 2013-10-05 06:57:32.730; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-10-05 06:57:32.733; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2013-10-05 06:57:32.814; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-10-05 06:57:32.818; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-10-05 06:57:32.881; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-10-05 06:57:33.398; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-10-05 06:57:47.933; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-10-05 06:57:47.940; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-10-05 06:57:48.039; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-10-05 06:57:48.044; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/bjo/workspace/solr-4.5.0/example/solr/collection1/, dataDir=/home/bjo/workspace/solr-4.5.0/example/solr/collection1/data/
INFO  - 2013-10-05 06:57:48.046; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-10-05 06:57:48.050; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-10-05 06:57:48.050; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-10-05 06:57:48.061; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/bjo/workspace/solr-4.5.0/example/solr/collection1/data
INFO  - 2013-10-05 06:57:48.061; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/bjo/workspace/solr-4.5.0/example/solr/collection1/data/index/
WARN  - 2013-10-05 06:57:48.061; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/bjo/workspace/solr-4.5.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-10-05 06:57:48.066; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/bjo/workspace/solr-4.5.0/example/solr/collection1/data/index
INFO  - 2013-10-05 06:57:48.127; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/bjo/workspace/solr-4.5.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@74e16785; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-10-05 06:57:48.134; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-10-05 06:57:48.137; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-10-05 06:57:48.137; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-10-05 06:57:48.138; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-10-05 06:57:48.141; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-10-05 06:57:48.142; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-10-05 06:57:48.212; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-10-05 06:57:48.218; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.218; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.219; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-10-05 06:57:48.220; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.222; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-10-05 06:57:48.223; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-10-05 06:57:48.224; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-10-05 06:57:48.224; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-10-05 06:57:48.225; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-10-05 06:57:48.225; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-10-05 06:57:48.225; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-10-05 06:57:48.225; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-10-05 06:57:48.225; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-10-05 06:57:48.226; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-10-05 06:57:48.228; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-10-05 06:57:48.229; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-10-05 06:57:48.236; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-10-05 06:57:48.236; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.236; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.236; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; created /clustering: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.238; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.252; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-10-05 06:57:48.255; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-10-05 06:57:48.256; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-10-05 06:57:48.274; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-10-05 06:57:48.274; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-10-05 06:57:48.280; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/bjo/workspace/solr-4.5.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@74e16785; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-10-05 06:57:48.281; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-10-05 06:57:48.288; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@6d8f729c main
INFO  - 2013-10-05 06:57:48.292; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-10-05 06:57:48.297; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-10-05 06:57:48.301; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-10-05 06:57:48.302; org.apache.solr.handler.clustering.ClusteringComponent; Initializing Clustering Engines
INFO  - 2013-10-05 06:57:48.321; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'lingo'
INFO  - 2013-10-05 06:57:48.323; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/lingo-attributes.xml
INFO  - 2013-10-05 06:57:48.456; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'stc'
INFO  - 2013-10-05 06:57:48.456; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/stc-attributes.xml
INFO  - 2013-10-05 06:57:48.461; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'kmeans'
INFO  - 2013-10-05 06:57:48.462; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/kmeans-attributes.xml
INFO  - 2013-10-05 06:57:48.470; org.apache.solr.handler.clustering.ClusteringComponent; Default engine for search results clustering: lingo
INFO  - 2013-10-05 06:57:48.470; org.apache.solr.handler.clustering.ClusteringComponent; Finished Initializing Clustering Engines
INFO  - 2013-10-05 06:57:48.471; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/bjo/workspace/solr-4.5.0/example/solr/collection1/conf/elevate.xml
INFO  - 2013-10-05 06:57:48.488; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-10-05 06:57:48.489; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@6d8f729c main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-10-05 06:57:48.490; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-10-05 06:57:48.495; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/bjo/workspace/solr-4.5.0/example
INFO  - 2013-10-05 06:57:48.495; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-10-05 06:57:48.517; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-10-05 06:57:48.529; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=38 
INFO  - 2013-10-05 06:57:48.530; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-10-05 06:57:48.530; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-10-05 06:57:48.530; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-10-05 06:57:48.531; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@6d8f729c main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-10-05 06:57:55.888; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1380981475883&wt=json} status=0 QTime=1 
INFO  - 2013-10-05 06:57:55.938; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1380981475912&wt=json} status=0 QTime=24 
INFO  - 2013-10-05 06:58:02.284; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1380981482281&since=0&wt=json} status=0 QTime=2 
INFO  - 2013-10-05 06:58:08.666; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&_=1380981488663&contentType=text/html;charset%3Dutf-8} status=0 QTime=1 
INFO  - 2013-10-05 06:58:08.667; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&_=1380981488663&contentType=text/html;charset%3Dutf-8} status=0 QTime=0 
INFO  - 2013-10-05 06:58:08.680; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1380981488677} status=0 QTime=0 
INFO  - 2013-10-05 06:58:08.681; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={numTerms=0&_=1380981488673&show=index&wt=json} status=0 QTime=3 
INFO  - 2013-10-05 06:58:08.682; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={action=status&_=1380981488678&wt=json} status=503 QTime=2 
INFO  - 2013-10-05 06:58:08.685; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/replication params={command=details&_=1380981488676&wt=json} status=0 QTime=6 
INFO  - 2013-10-05 06:58:08.702; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/system params={_=1380981488677&wt=json} status=0 QTime=20 
INFO  - 2013-10-05 06:58:15.676; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=schema.xml&_=1380981495673&contentType=text/xml;charset%3Dutf-8} status=0 QTime=0 
INFO  - 2013-10-05 06:58:26.310; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={numTerms=0&_=1380981506307&wt=json} status=0 QTime=1 
